sentence,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9
tree fish phone book apple,1,0,1,0,0,0,1,0,1,1
book tree book car fish,0,0,2,1,0,0,1,0,0,1
car apple dog bird dog,1,1,0,1,0,2,0,0,0,0
apple bird cat tree apple,2,1,0,0,1,0,0,0,0,1
phone bird dog fish apple fish,1,1,0,0,0,1,2,0,1,0
bird bird bird fish,0,3,0,0,0,0,1,0,0,0
fish cat fish cat,0,0,0,0,2,0,2,0,0,0
fish fish bird book fish tree,0,1,1,0,0,0,3,0,0,1
book phone apple dog,1,0,1,0,0,1,0,0,1,0
car car bird,0,1,0,2,0,0,0,0,0,0
house phone house tree cat dog,0,0,0,0,1,1,0,2,1,1
cat book bird apple,1,1,1,0,1,0,0,0,0,0
phone fish apple bird tree,1,1,0,0,0,0,1,0,1,1
tree dog apple,1,0,0,0,0,1,0,0,0,1
tree book dog,0,0,1,0,0,1,0,0,0,1
tree house cat house apple,1,0,0,0,1,0,0,2,0,1
fish cat cat fish,0,0,0,0,2,0,2,0,0,0
car bird house,0,1,0,1,0,0,0,1,0,0
fish fish book book phone bird,0,1,2,0,0,0,2,0,1,0
apple house book house,1,0,1,0,0,0,0,2,0,0
dog bird bird car dog bird,0,3,0,1,0,2,0,0,0,0
dog cat apple cat,1,0,0,0,2,1,0,0,0,0
car car book,0,0,1,2,0,0,0,0,0,0
dog house fish fish fish book,0,0,1,0,0,1,3,1,0,0
fish tree bird fish bird,0,2,0,0,0,0,2,0,0,1
cat book dog book,0,0,2,0,1,1,0,0,0,0
phone phone book apple fish,1,0,1,0,0,0,1,0,2,0
phone cat tree phone car,0,0,0,1,1,0,0,0,2,1
cat tree dog,0,0,0,0,1,1,0,0,0,1
car book car,0,0,1,2,0,0,0,0,0,0
house phone tree book book house,0,0,2,0,0,0,0,2,1,1
book dog cat car bird tree,0,1,1,1,1,1,0,0,0,1
book car dog,0,0,1,1,0,1,0,0,0,0
dog house book book,0,0,2,0,0,1,0,1,0,0
dog fish dog,0,0,0,0,0,2,1,0,0,0
fish dog cat,0,0,0,0,1,1,1,0,0,0
car phone tree tree,0,0,0,1,0,0,0,0,1,2
book house book car,0,0,2,1,0,0,0,1,0,0
apple car car,1,0,0,2,0,0,0,0,0,0
bird dog car dog,0,1,0,1,0,2,0,0,0,0
phone house fish bird,0,1,0,0,0,0,1,1,1,0
dog fish fish tree cat,0,0,0,0,1,1,2,0,0,1
phone phone fish,0,0,0,0,0,0,1,0,2,0
dog house fish tree,0,0,0,0,0,1,1,1,0,1
dog bird fish dog,0,1,0,0,0,2,1,0,0,0
fish house cat phone cat,0,0,0,0,2,0,1,1,1,0
apple book cat phone bird,1,1,1,0,1,0,0,0,1,0
house apple house fish phone dog,1,0,0,0,0,1,1,2,1,0
bird dog house house book car,0,1,1,1,0,1,0,2,0,0
phone fish tree car,0,0,0,1,0,0,1,0,1,1
car house phone tree cat apple,1,0,0,1,1,0,0,1,1,1
apple house dog car bird bird,1,2,0,1,0,1,0,1,0,0
dog apple apple car,2,0,0,1,0,1,0,0,0,0
dog dog house car bird apple,1,1,0,1,0,2,0,1,0,0
house house dog car,0,0,0,1,0,1,0,2,0,0
phone tree cat tree phone,0,0,0,0,1,0,0,0,2,2
fish cat book bird house,0,1,1,0,1,0,1,1,0,0
book car house dog book tree,0,0,2,1,0,1,0,1,0,1
cat car apple car cat,1,0,0,2,2,0,0,0,0,0
phone bird house book,0,1,1,0,0,0,0,1,1,0
tree dog bird tree dog,0,1,0,0,0,2,0,0,0,2
car bird tree car tree,0,1,0,2,0,0,0,0,0,2
fish car phone bird,0,1,0,1,0,0,1,0,1,0
fish car fish cat car,0,0,0,2,1,0,2,0,0,0
bird book bird tree tree,0,2,1,0,0,0,0,0,0,2
apple cat fish dog phone,1,0,0,0,1,1,1,0,1,0
book car bird,0,1,1,1,0,0,0,0,0,0
dog cat dog bird,0,1,0,0,1,2,0,0,0,0
fish phone book tree house,0,0,1,0,0,0,1,1,1,1
tree car car tree house phone,0,0,0,2,0,0,0,1,1,2
bird dog dog cat,0,1,0,0,1,2,0,0,0,0
house phone car bird bird tree,0,2,0,1,0,0,0,1,1,1
fish tree house,0,0,0,0,0,0,1,1,0,1
cat tree cat cat book,0,0,1,0,3,0,0,0,0,1
car book tree dog cat book,0,0,2,1,1,1,0,0,0,1
phone phone bird,0,1,0,0,0,0,0,0,2,0
fish house house cat,0,0,0,0,1,0,1,2,0,0
dog apple dog dog house dog,1,0,0,0,0,4,0,1,0,0
cat apple fish fish apple,2,0,0,0,1,0,2,0,0,0
phone phone phone car house phone,0,0,0,1,0,0,0,1,4,0
car dog apple apple apple,3,0,0,1,0,1,0,0,0,0
dog fish house phone tree bird,0,1,0,0,0,1,1,1,1,1
cat dog phone phone house bird,0,1,0,0,1,1,0,1,2,0
tree bird cat dog,0,1,0,0,1,1,0,0,0,1
tree cat dog,0,0,0,0,1,1,0,0,0,1
phone bird phone bird,0,2,0,0,0,0,0,0,2,0
book phone house,0,0,1,0,0,0,0,1,1,0
dog fish bird,0,1,0,0,0,1,1,0,0,0
apple book dog phone tree apple,2,0,1,0,0,1,0,0,1,1
apple cat phone dog house phone,1,0,0,0,1,1,0,1,2,0
phone apple house fish,1,0,0,0,0,0,1,1,1,0
cat car phone tree,0,0,0,1,1,0,0,0,1,1
dog fish book tree tree cat,0,0,1,0,1,1,1,0,0,2
fish apple fish book book,1,0,2,0,0,0,2,0,0,0
car cat bird fish house cat,0,1,0,1,2,0,1,1,0,0
apple bird cat bird cat,1,2,0,0,2,0,0,0,0,0
dog bird cat phone house,0,1,0,0,1,1,0,1,1,0
fish book phone apple house,1,0,1,0,0,0,1,1,1,0
dog dog book,0,0,1,0,0,2,0,0,0,0
fish house house,0,0,0,0,0,0,1,2,0,0
phone dog house,0,0,0,0,0,1,0,1,1,0
car cat car book,0,0,1,2,1,0,0,0,0,0
bird house car car tree cat,0,1,0,2,1,0,0,1,0,1
fish apple book,1,0,1,0,0,0,1,0,0,0
phone phone book phone,0,0,1,0,0,0,0,0,3,0
cat bird tree bird,0,2,0,0,1,0,0,0,0,1
phone house cat phone cat apple,1,0,0,0,2,0,0,1,2,0
book bird bird,0,2,1,0,0,0,0,0,0,0
car book phone,0,0,1,1,0,0,0,0,1,0
phone cat car,0,0,0,1,1,0,0,0,1,0
dog fish dog dog car,0,0,0,1,0,3,1,0,0,0
book tree car cat dog tree,0,0,1,1,1,1,0,0,0,2
apple cat car phone tree,1,0,0,1,1,0,0,0,1,1
car cat dog cat car,0,0,0,2,2,1,0,0,0,0
tree tree book cat,0,0,1,0,1,0,0,0,0,2
book bird bird phone tree,0,2,1,0,0,0,0,0,1,1
cat book bird fish,0,1,1,0,1,0,1,0,0,0
fish dog book car,0,0,1,1,0,1,1,0,0,0
tree phone fish bird fish dog,0,1,0,0,0,1,2,0,1,1
car tree book fish house,0,0,1,1,0,0,1,1,0,1
tree bird cat,0,1,0,0,1,0,0,0,0,1
book book fish book book cat,0,0,4,0,1,0,1,0,0,0
car dog book bird cat,0,1,1,1,1,1,0,0,0,0
dog apple bird,1,1,0,0,0,1,0,0,0,0
phone car dog,0,0,0,1,0,1,0,0,1,0
car house house,0,0,0,1,0,0,0,2,0,0
book tree apple,1,0,1,0,0,0,0,0,0,1
book fish cat book phone,0,0,2,0,1,0,1,0,1,0
dog fish apple,1,0,0,0,0,1,1,0,0,0
apple fish dog book tree,1,0,1,0,0,1,1,0,0,1
bird fish tree,0,1,0,0,0,0,1,0,0,1
tree tree book fish,0,0,1,0,0,0,1,0,0,2
phone bird book dog,0,1,1,0,0,1,0,0,1,0
dog dog bird,0,1,0,0,0,2,0,0,0,0
bird cat car fish car house,0,1,0,2,1,0,1,1,0,0
book book book dog,0,0,3,0,0,1,0,0,0,0
phone fish fish,0,0,0,0,0,0,2,0,1,0
bird dog tree,0,1,0,0,0,1,0,0,0,1
bird car fish fish fish house,0,1,0,1,0,0,3,1,0,0
bird fish apple cat book,1,1,1,0,1,0,1,0,0,0
bird car house car,0,1,0,2,0,0,0,1,0,0
fish apple dog phone car car,1,0,0,2,0,1,1,0,1,0
apple book apple bird apple bird,3,2,1,0,0,0,0,0,0,0
book car phone dog dog,0,0,1,1,0,2,0,0,1,0
bird bird dog dog phone,0,2,0,0,0,2,0,0,1,0
tree tree bird,0,1,0,0,0,0,0,0,0,2
bird book bird tree phone house,0,2,1,0,0,0,0,1,1,1
car house dog bird bird,0,2,0,1,0,1,0,1,0,0
phone fish phone dog fish book,0,0,1,0,0,1,2,0,2,0
book tree bird,0,1,1,0,0,0,0,0,0,1
dog fish book,0,0,1,0,0,1,1,0,0,0
book tree dog car,0,0,1,1,0,1,0,0,0,1
cat phone dog tree,0,0,0,0,1,1,0,0,1,1
fish dog tree bird,0,1,0,0,0,1,1,0,0,1
book house fish house apple,1,0,1,0,0,0,1,2,0,0
cat bird apple dog apple,2,1,0,0,1,1,0,0,0,0
house apple car car tree bird,1,1,0,2,0,0,0,1,0,1
book apple car house cat,1,0,1,1,1,0,0,1,0,0
cat cat apple fish,1,0,0,0,2,0,1,0,0,0
bird fish bird,0,2,0,0,0,0,1,0,0,0
car apple apple dog dog,2,0,0,1,0,2,0,0,0,0
tree house bird phone car fish,0,1,0,1,0,0,1,1,1,1
book car phone house bird,0,1,1,1,0,0,0,1,1,0
fish fish car,0,0,0,1,0,0,2,0,0,0
apple fish cat,1,0,0,0,1,0,1,0,0,0
phone bird bird tree phone apple,1,2,0,0,0,0,0,0,2,1
car car tree,0,0,0,2,0,0,0,0,0,1
dog book bird,0,1,1,0,0,1,0,0,0,0
house phone apple fish dog bird,1,1,0,0,0,1,1,1,1,0
fish phone house tree tree,0,0,0,0,0,0,1,1,1,2
dog bird dog,0,1,0,0,0,2,0,0,0,0
tree house book fish,0,0,1,0,0,0,1,1,0,1
house phone cat book,0,0,1,0,1,0,0,1,1,0
dog fish phone tree,0,0,0,0,0,1,1,0,1,1
dog phone bird car,0,1,0,1,0,1,0,0,1,0
car tree bird car book tree,0,1,1,2,0,0,0,0,0,2
fish bird apple,1,1,0,0,0,0,1,0,0,0
house apple car,1,0,0,1,0,0,0,1,0,0
fish tree car car apple house,1,0,0,2,0,0,1,1,0,1
car car car fish,0,0,0,3,0,0,1,0,0,0
book car book,0,0,2,1,0,0,0,0,0,0
phone fish car house fish,0,0,0,1,0,0,2,1,1,0
bird car house fish book cat,0,1,1,1,1,0,1,1,0,0
house apple phone car,1,0,0,1,0,0,0,1,1,0
book cat dog fish,0,0,1,0,1,1,1,0,0,0
bird cat phone fish,0,1,0,0,1,0,1,0,1,0
book apple apple book,2,0,2,0,0,0,0,0,0,0
bird apple tree apple,2,1,0,0,0,0,0,0,0,1
dog house car bird,0,1,0,1,0,1,0,1,0,0
house tree book apple fish,1,0,1,0,0,0,1,1,0,1
tree fish dog,0,0,0,0,0,1,1,0,0,1
bird cat phone bird apple cat,1,2,0,0,2,0,0,0,1,0
dog car phone,0,0,0,1,0,1,0,0,1,0
fish dog car car phone car,0,0,0,3,0,1,1,0,1,0
car phone phone phone cat house,0,0,0,1,1,0,0,1,3,0
cat house fish fish fish apple,1,0,0,0,1,0,3,1,0,0
book dog phone,0,0,1,0,0,1,0,0,1,0
apple dog fish,1,0,0,0,0,1,1,0,0,0
cat apple dog fish car fish,1,0,0,1,1,1,2,0,0,0
house car apple book,1,0,1,1,0,0,0,1,0,0
phone cat house house fish tree,0,0,0,0,1,0,1,2,1,1
fish house phone house house phone,0,0,0,0,0,0,1,3,2,0
apple dog cat book book car,1,0,2,1,1,1,0,0,0,0
house book dog,0,0,1,0,0,1,0,1,0,0
cat fish house cat car,0,0,0,1,2,0,1,1,0,0
house dog house car car bird,0,1,0,2,0,1,0,2,0,0
tree dog cat book,0,0,1,0,1,1,0,0,0,1
car bird cat apple tree,1,1,0,1,1,0,0,0,0,1
bird tree dog,0,1,0,0,0,1,0,0,0,1
fish fish fish book fish phone,0,0,1,0,0,0,4,0,1,0
book book house apple house phone,1,0,2,0,0,0,0,2,1,0
bird dog dog cat,0,1,0,0,1,2,0,0,0,0
phone book cat,0,0,1,0,1,0,0,0,1,0
car tree dog phone,0,0,0,1,0,1,0,0,1,1
cat fish tree bird apple book,1,1,1,0,1,0,1,0,0,1
fish apple phone dog phone dog,1,0,0,0,0,2,1,0,2,0
car dog book tree phone bird,0,1,1,1,0,1,0,0,1,1
fish tree book house,0,0,1,0,0,0,1,1,0,1
phone book car fish apple,1,0,1,1,0,0,1,0,1,0
dog apple tree book cat,1,0,1,0,1,1,0,0,0,1
apple apple house fish fish phone,2,0,0,0,0,0,2,1,1,0
car book car book cat,0,0,2,2,1,0,0,0,0,0
cat book bird car,0,1,1,1,1,0,0,0,0,0
bird book bird house car car,0,2,1,2,0,0,0,1,0,0
tree car dog book dog car,0,0,1,2,0,2,0,0,0,1
fish phone cat,0,0,0,0,1,0,1,0,1,0
phone fish phone apple,1,0,0,0,0,0,1,0,2,0
dog bird house house bird,0,2,0,0,0,1,0,2,0,0
house house fish apple,1,0,0,0,0,0,1,2,0,0
cat car tree bird,0,1,0,1,1,0,0,0,0,1
book house apple phone,1,0,1,0,0,0,0,1,1,0
bird phone book,0,1,1,0,0,0,0,0,1,0
house book car bird bird,0,2,1,1,0,0,0,1,0,0
phone dog apple dog phone house,1,0,0,0,0,2,0,1,2,0
fish apple house cat book dog,1,0,1,0,1,1,1,1,0,0
cat fish car,0,0,0,1,1,0,1,0,0,0
tree bird bird bird bird,0,4,0,0,0,0,0,0,0,1
dog dog fish house,0,0,0,0,0,2,1,1,0,0
bird car phone,0,1,0,1,0,0,0,0,1,0
apple phone book book,1,0,2,0,0,0,0,0,1,0
bird book tree bird house apple,1,2,1,0,0,0,0,1,0,1
book bird car,0,1,1,1,0,0,0,0,0,0
car bird fish,0,1,0,1,0,0,1,0,0,0
book house bird tree,0,1,1,0,0,0,0,1,0,1
phone bird fish house car dog,0,1,0,1,0,1,1,1,1,0
phone house house book,0,0,1,0,0,0,0,2,1,0
book dog book bird house tree,0,1,2,0,0,1,0,1,0,1
house book apple car bird bird,1,2,1,1,0,0,0,1,0,0
fish house fish,0,0,0,0,0,0,2,1,0,0
dog cat car house,0,0,0,1,1,1,0,1,0,0
apple bird bird book cat,1,2,1,0,1,0,0,0,0,0
dog bird apple tree dog,1,1,0,0,0,2,0,0,0,1
fish bird dog cat fish house,0,1,0,0,1,1,2,1,0,0
book apple phone,1,0,1,0,0,0,0,0,1,0
cat tree car tree fish dog,0,0,0,1,1,1,1,0,0,2
phone apple fish dog dog,1,0,0,0,0,2,1,0,1,0
car cat apple,1,0,0,1,1,0,0,0,0,0
house dog bird dog tree tree,0,1,0,0,0,2,0,1,0,2
car car tree phone,0,0,0,2,0,0,0,0,1,1
car bird car,0,1,0,2,0,0,0,0,0,0
tree dog car,0,0,0,1,0,1,0,0,0,1
house house phone,0,0,0,0,0,0,0,2,1,0
phone cat house fish fish,0,0,0,0,1,0,2,1,1,0
cat fish apple phone book,1,0,1,0,1,0,1,0,1,0
fish apple house,1,0,0,0,0,0,1,1,0,0
tree cat dog dog,0,0,0,0,1,2,0,0,0,1
dog tree fish,0,0,0,0,0,1,1,0,0,1
dog tree phone,0,0,0,0,0,1,0,0,1,1
cat car phone,0,0,0,1,1,0,0,0,1,0
apple tree house book bird,1,1,1,0,0,0,0,1,0,1
book cat phone,0,0,1,0,1,0,0,0,1,0
apple apple apple cat,3,0,0,0,1,0,0,0,0,0
phone book tree dog,0,0,1,0,0,1,0,0,1,1
house car book apple,1,0,1,1,0,0,0,1,0,0
phone bird dog dog,0,1,0,0,0,2,0,0,1,0
phone tree phone dog fish tree,0,0,0,0,0,1,1,0,2,2
phone cat book tree dog,0,0,1,0,1,1,0,0,1,1
cat cat car cat book fish,0,0,1,1,3,0,1,0,0,0
bird car cat,0,1,0,1,1,0,0,0,0,0
fish apple house cat dog house,1,0,0,0,1,1,1,2,0,0
bird bird book fish cat tree,0,2,1,0,1,0,1,0,0,1
dog house dog house fish car,0,0,0,1,0,2,1,2,0,0
bird car bird house tree fish,0,2,0,1,0,0,1,1,0,1
bird car book fish,0,1,1,1,0,0,1,0,0,0
phone car apple dog bird cat,1,1,0,1,1,1,0,0,1,0
car phone cat phone,0,0,0,1,1,0,0,0,2,0
car apple fish house house house,1,0,0,1,0,0,1,3,0,0
book fish fish,0,0,1,0,0,0,2,0,0,0
book tree book bird,0,1,2,0,0,0,0,0,0,1
car car tree,0,0,0,2,0,0,0,0,0,1
apple fish car phone dog,1,0,0,1,0,1,1,0,1,0
cat tree apple cat,1,0,0,0,2,0,0,0,0,1
bird house dog phone fish tree,0,1,0,0,0,1,1,1,1,1
house bird fish book bird,0,2,1,0,0,0,1,1,0,0
book bird apple,1,1,1,0,0,0,0,0,0,0
book car car,0,0,1,2,0,0,0,0,0,0
dog car bird,0,1,0,1,0,1,0,0,0,0
apple house bird apple apple,3,1,0,0,0,0,0,1,0,0
phone bird car,0,1,0,1,0,0,0,0,1,0
book tree tree,0,0,1,0,0,0,0,0,0,2
phone house bird tree house bird,0,2,0,0,0,0,0,2,1,1
fish apple tree,1,0,0,0,0,0,1,0,0,1
cat book phone fish dog,0,0,1,0,1,1,1,0,1,0
phone apple house apple fish bird,2,1,0,0,0,0,1,1,1,0
bird phone fish cat apple,1,1,0,0,1,0,1,0,1,0
book house cat,0,0,1,0,1,0,0,1,0,0
apple cat cat cat fish,1,0,0,0,3,0,1,0,0,0
tree house dog bird,0,1,0,0,0,1,0,1,0,1
tree book house house phone dog,0,0,1,0,0,1,0,2,1,1
house cat apple,1,0,0,0,1,0,0,1,0,0
tree cat bird,0,1,0,0,1,0,0,0,0,1
apple bird fish cat cat book,1,1,1,0,2,0,1,0,0,0
cat book cat,0,0,1,0,2,0,0,0,0,0
dog house dog phone house house,0,0,0,0,0,2,0,3,1,0
house phone bird,0,1,0,0,0,0,0,1,1,0
car tree fish bird bird,0,2,0,1,0,0,1,0,0,1
apple fish cat tree book cat,1,0,1,0,2,0,1,0,0,1
book tree book,0,0,2,0,0,0,0,0,0,1
fish apple bird phone dog,1,1,0,0,0,1,1,0,1,0
car tree tree book,0,0,1,1,0,0,0,0,0,2
house fish house bird car tree,0,1,0,1,0,0,1,2,0,1
fish tree bird tree cat tree,0,1,0,0,1,0,1,0,0,3
cat apple car,1,0,0,1,1,0,0,0,0,0
bird phone dog,0,1,0,0,0,1,0,0,1,0
fish house tree,0,0,0,0,0,0,1,1,0,1
car bird car house,0,1,0,2,0,0,0,1,0,0
dog fish tree,0,0,0,0,0,1,1,0,0,1
fish dog bird phone book bird,0,2,1,0,0,1,1,0,1,0
tree book dog,0,0,1,0,0,1,0,0,0,1
car book dog,0,0,1,1,0,1,0,0,0,0
house dog cat,0,0,0,0,1,1,0,1,0,0
house house fish phone apple tree,1,0,0,0,0,0,1,2,1,1
cat cat car tree,0,0,0,1,2,0,0,0,0,1
